class,instance,time_s,time_e,evt:alias,territory,founder,capital,upper_organization
Age,Paleolithic Age,,,,,,,
Age,Upper Paleolithic Age,Latest Pleistocene,,,,,,
Age,Mesolithic Age,,,,,,,
Age,Neolithic Age,,,,,,,
Age,Metal Age,,,,,,,
Age,Prehistory,,,,,,,
Age,Recorded history,,,,,,,
Age,Greek Dark Ages,1100 BC,800 BC,,,,,
Geologic time scale,Archean,,,,,,,
Geologic time scale,Proterozoic,,,,,,,
Geologic time scale,Paleozoic,,,,,,,
Geologic time scale,Mesozoic,,,,,,,
Geologic time scale,Cainozoic,23030000 BC,2000,,,,,
Geologic time scale,Paleogene,65000000 BC,23030000 BC,,,,,
Geologic time scale,Neogene,65000000 BC,800000 BC,,,,,
Geologic time scale,Quaternary,1800000 BC,2000,,,,,
Geologic time scale,Pleistocene,1800000 BC,8000 BC,Diluvium,,,,
Geologic time scale,Holocene,8000 BC,2000,Alluvium@Postglacial,,,,
Geologic time scale,glacial periods,,,Ice age,,,,
Geologic time scale,interglacial period,,,,,,,
Age,Veda period,2000 BC,600 BC,,India,,,
Age,Rajput period,8th,13th,,North India,,,
Age,"Spring and Autumn, and Warring States period",770 BC,221 BC,,China,,,
Age,Spring and Autumn period,770 BC,403 BC,,China,,,
Age,Warring States period,403 BC,221 BC,,China,,,
Era@Age,a century of Roman civil wars,133 BC,27 BC,,Roman Republic,,,
Age,Wei Jin Northern and Southern dynasties,220,589,Wei Jin Northern and Southern dynasties period,China,,,
Age,Three Kingdoms,220,280,,Wei@Shu@Wu,China,,
Age,Sixteen Kingdoms,304,439,,China,,,
Age,Northern and Southern dynasties,439,589,,China,,,
Age,Three Kingdoms of Korea,4th,7th,Three Kingdoms,Baekje@Silla@Goguryeo,,,
Age,Asuka Period,592,710,,Japan,,,
Age,Nara Period,710,194,,Japan,,,
Age@Period,Renaissance,14th,16th,,Italia,,,
Age,Heian Heriod,794,1192,,Heiankyo,,,
